Comment,Designator,Footprint,LCSC,Quantity
0.1 OHM 2W,R2,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,C2903476,1
0.1uF,"C1,C5,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,3
10K,"R3,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,2
10uF,"C2,C3,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,3
33ohm,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23140,1
74AHCT1G125,U1,TSOP-5_1.65x3.05mm_P0.95mm,C7484,1
AMS1117-5.0,U3,SOT-223-3_TabPin2,C6187,1
AP2112K-3.3,U2,SOT-23-5,C51118,1
ATtiny1614-SS,U6,SOIC-14_3.9x8.7mm_P1.27mm,C481364,1
INA219BxD,U4,SOIC-8_3.9x4.9mm_P1.27mm,C138706,1
Test,SW1,SW_PUSH_6mm,C2834918,1
Power In,TB1,"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",,1
String1,J2,PhoenixContact_MCV_3.81mm_3.5mm_1x03_Vertical,,1
OLED,J3,OLED-SSD1306-128X64-I2C-THT_SCOTT2,,1
Conn_01x03,J1,PinHeader_1x03_P2.54mm_Vertical,,1
